iShares Russell 3000 ETF,,,,,,,,,,,,,,
Fund Holdings as of,30-Apr-24,,,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,,,,
Shares Outstanding,"45,450,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
CME,CME GROUP INC CLASS A,Financials,Equity,"20,277,429.00",0.16,"20,277,429.00","96,725.00",209.64,United States,NASDAQ,USD,1,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"20,071,652.23",0.15,"20,071,652.23","72,821.00",275.63,United States,NASDAQ,USD,1,USD,-
TGT,TARGET CORP,Consumer Staples,Equity,"19,991,301.30",0.15,"19,991,301.30","124,185.00",160.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"19,830,953.40",0.15,"19,830,953.40","124,535.00",159.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,"19,724,783.04",0.15,"19,724,783.04","290,412.00",67.92,United States,NASDAQ,USD,1,USD,-
ITW,ILLINOIS TOOL INC,Industrials,Equity,"19,648,169.79",0.15,"19,648,169.79","80,489.00",244.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"19,608,989.16",0.15,"19,608,989.16","152,291.00",128.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"19,435,200.57",0.15,"19,435,200.57","19,435,201.00",1,United States,-,USD,1,USD,-
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"19,387,569.96",0.15,"19,387,569.96","61,094.00",317.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
MCK,MCKESSON CORP,Health Care,Equity,"19,262,201.76",0.15,"19,262,201.76","35,856.00",537.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
FCX,FREEPORT MCMORAN INC,Materials,Equity,"19,232,343.46",0.15,"19,232,343.46","385,109.00",49.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
SHW,SHERWIN WILLIAMS,Materials,Equity,"19,209,495.15",0.15,"19,209,495.15","64,115.00",299.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
GD,GENERAL DYNAMICS CORP,Industrials,Equity,"18,953,107.62",0.14,"18,953,107.62","66,018.00",287.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"18,895,311.89",0.14,"18,895,311.89","156,457.00",120.77,United States,New York Stock Exchange Inc.,USD,1,USD,-
PH,PARKER-HANNIFIN CORP,Industrials,Equity,"18,736,185.44",0.14,"18,736,185.44","34,384.00",544.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"18,449,571.14",0.14,"18,449,571.14","38,038.00",485.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
BDX,BECTON DICKINSON,Health Care,Equity,"18,267,598.20",0.14,"18,267,598.20","77,867.00",234.6,United States,New York Stock Exchange Inc.,USD,1,USD,-
SLB,SCHLUMBERGER NV,Energy,Equity,"18,225,435.40",0.14,"18,225,435.40","383,855.00",47.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
MPC,MARATHON PETROLEUM CORP,Energy,Equity,"18,001,183.20",0.14,"18,001,183.20","99,060.00",181.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
EQIX,EQUINIX REIT INC,Real Estate,Equity,"17,910,727.57",0.14,"17,910,727.57","25,187.00",711.11,United States,NASDAQ,USD,1,USD,-
TDG,TRANSDIGM GROUP INC,Industrials,Equity,"17,778,187.35",0.14,"17,778,187.35","14,245.00","1,248.03",United States,New York Stock Exchange Inc.,USD,1,USD,-
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"17,685,153.53",0.14,"17,685,153.53","111,529.00",158.57,United States,NASDAQ,USD,1,USD,-
CSX,CSX CORP,Industrials,Equity,"17,625,302.86",0.13,"17,625,302.86","530,563.00",33.22,United States,NASDAQ,USD,1,USD,-
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"17,261,869.92",0.13,"17,261,869.92","67,282.00",256.56,United States,New York Stock Exchange Inc.,USD,1,USD,-
USB,US BANCORP,Financials,Equity,"17,015,925.26",0.13,"17,015,925.26","418,802.00",40.63,United States,New York Stock Exchange Inc.,USD,1,USD,-
PSX,PHILLIPS,Energy,Equity,"16,963,367.71",0.13,"16,963,367.71","118,451.00",143.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
PXD,PIONEER NATURAL RESOURCE,Energy,Equity,"16,809,607.80",0.13,"16,809,607.80","62,415.00",269.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"16,783,312.34",0.13,"16,783,312.34","57,371.00",292.54,United States,NASDAQ,USD,1,USD,-
KKR,KKR AND CO INC,Financials,Equity,"16,597,638.45",0.13,"16,597,638.45","178,335.00",93.07,United States,New York Stock Exchange Inc.,USD,1,USD,-
HCA,HCA HEALTHCARE INC,Health Care,Equity,"16,568,244.14",0.13,"16,568,244.14","53,477.00",309.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
EMR,EMERSON ELECTRIC,Industrials,Equity,"16,529,679.70",0.13,"16,529,679.70","153,365.00",107.78,United States,New York Stock Exchange Inc.,USD,1,USD,-
